dateTime,open,high,low,close,volume
2021-02-01 00-00-00,0.03696230,0.03776370,0.03520160,0.03640360,487619637.00000000
2021-02-01 00-15-00,0.03640360,0.03681070,0.03410030,0.03456790,406638734.00000000
2021-02-01 00-30-00,0.03458100,0.03627540,0.03441100,0.03536570,264688141.00000000
2021-02-01 00-45-00,0.03536570,0.03788510,0.03534290,0.03689870,368352783.00000000
2021-02-01 01-00-00,0.03690380,0.03820170,0.03590360,0.03628690,396319711.00000000
2021-02-01 01-15-00,0.03619200,0.03757500,0.03614090,0.03662480,224837647.00000000
2021-02-01 01-30-00,0.03660000,0.03828770,0.03656200,0.03799500,262320327.00000000
2021-02-01 01-45-00,0.03799520,0.03930220,0.03777330,0.03871610,411572336.00000000
2021-02-01 02-00-00,0.03879070,0.03884390,0.03738290,0.03798600,205743550.00000000
2021-02-01 02-15-00,0.03797890,0.03888000,0.03790010,0.03800390,207391964.00000000
2021-02-01 02-30-00,0.03800390,0.03856060,0.03674600,0.03729300,190216539.00000000
2021-02-01 02-45-00,0.03733420,0.03783590,0.03641220,0.03783590,203758543.00000000
2021-02-01 03-00-00,0.03782490,0.03854190,0.03760770,0.03805060,215265005.00000000
2021-02-01 03-15-00,0.03805060,0.03813550,0.03654790,0.03689140,233607758.00000000
2021-02-01 03-30-00,0.03686820,0.03768300,0.03650000,0.03675800,240109006.00000000
2021-02-01 03-45-00,0.03679250,0.03748500,0.03633100,0.03748320,206389415.00000000
2021-02-01 04-00-00,0.03746970,0.03860000,0.03693410,0.03727190,291765852.00000000
2021-02-01 04-15-00,0.03725560,0.03838170,0.03720410,0.03817980,180230123.00000000
2021-02-01 04-30-00,0.03817650,0.03996410,0.03775000,0.03992000,296928363.00000000
2021-02-01 04-45-00,0.03989020,0.04160450,0.03893450,0.04040830,794005858.00000000
2021-02-01 05-00-00,0.04046120,0.04198600,0.03985940,0.04052000,474880762.00000000
2021-02-01 05-15-00,0.04052000,0.04124430,0.03960080,0.04005190,300969142.00000000
2021-02-01 05-30-00,0.04005190,0.04055660,0.03911990,0.04031750,225333094.00000000
2021-02-01 05-45-00,0.04033490,0.04090350,0.03980370,0.04068510,188514797.00000000
2021-02-01 06-00-00,0.04068470,0.04200000,0.04050560,0.04084000,399989498.00000000
2021-02-01 06-15-00,0.04080130,0.04122100,0.04036800,0.04118210,212693163.00000000
2021-02-01 06-30-00,0.04119420,0.04121980,0.03844400,0.03886560,383893056.00000000
2021-02-01 06-45-00,0.03882690,0.03918510,0.03650000,0.03866530,702213490.00000000
2021-02-01 07-00-00,0.03865620,0.03977760,0.03801800,0.03895030,307293683.00000000
2021-02-01 07-15-00,0.03895030,0.03950990,0.03868490,0.03935500,203457078.00000000
2021-02-01 07-30-00,0.03932210,0.04017880,0.03900000,0.03988300,194629871.00000000
2021-02-01 07-45-00,0.03988880,0.03994900,0.03833900,0.03921880,237400469.00000000
2021-02-01 08-00-00,0.03921880,0.03925950,0.03789470,0.03835070,207815268.00000000
2021-02-01 08-15-00,0.03833410,0.03891480,0.03758260,0.03760000,226848457.00000000
2021-02-01 08-30-00,0.03760000,0.03859120,0.03742970,0.03825390,187348907.00000000
2021-02-01 08-45-00,0.03825300,0.03888000,0.03814450,0.03838320,150328899.00000000
2021-02-01 09-00-00,0.03842560,0.03846530,0.03772750,0.03815670,116542583.00000000
2021-02-01 09-15-00,0.03815000,0.03832680,0.03783910,0.03796650,117486520.00000000
2021-02-01 09-30-00,0.03797620,0.03929210,0.03785580,0.03924970,213524830.00000000
2021-02-01 09-45-00,0.03922500,0.03990000,0.03900080,0.03935000,204943041.00000000
2021-02-01 10-00-00,0.03934210,0.04057970,0.03878310,0.04043790,323807286.00000000
2021-02-01 10-15-00,0.04041220,0.04093370,0.03983100,0.04015310,342281186.00000000
2021-02-01 10-30-00,0.04015480,0.04052240,0.03933000,0.03976010,187821366.00000000
2021-02-01 10-45-00,0.03974800,0.03976680,0.03872320,0.03905110,203091382.00000000
2021-02-01 11-00-00,0.03904950,0.03970000,0.03880000,0.03880000,174924126.00000000
2021-02-01 11-15-00,0.03880010,0.03955710,0.03818190,0.03947160,208657840.00000000
2021-02-01 11-30-00,0.03945010,0.04030000,0.03829930,0.03971790,263191828.00000000
2021-02-01 11-45-00,0.03973070,0.04057110,0.03930000,0.03930010,218040447.00000000
2021-02-01 12-00-00,0.03930010,0.04004520,0.03871090,0.03946770,206707984.00000000
2021-02-01 12-15-00,0.03946770,0.04021050,0.03926450,0.04002870,204917989.00000000
2021-02-01 12-30-00,0.04003160,0.04006050,0.03921000,0.03925130,140414554.00000000
2021-02-01 12-45-00,0.03925130,0.03979390,0.03900630,0.03974540,165121817.00000000
2021-02-01 13-00-00,0.03971530,0.04231860,0.03952320,0.04164630,531110154.00000000
2021-02-01 13-15-00,0.04165100,0.04382680,0.04104510,0.04201660,1037488978.00000000
2021-02-01 13-30-00,0.04201660,0.04209800,0.03800000,0.04026450,604945454.00000000
2021-02-01 13-45-00,0.04020320,0.04039980,0.03850000,0.03899990,389881154.00000000
2021-02-01 14-00-00,0.03901750,0.03963000,0.03777000,0.03879730,340651437.00000000
2021-02-01 14-15-00,0.03879740,0.03984220,0.03840000,0.03959520,191970603.00000000
2021-02-01 14-30-00,0.03959980,0.04120000,0.03909000,0.04069700,335696764.00000000
2021-02-01 14-45-00,0.04062840,0.04083590,0.03951550,0.04006790,199792463.00000000
2021-02-01 15-00-00,0.04004110,0.04050000,0.03920000,0.04026980,256551431.00000000
2021-02-01 15-15-00,0.04024490,0.04058000,0.03960050,0.03972920,151306146.00000000
2021-02-01 15-30-00,0.03972930,0.03982860,0.03930000,0.03976000,148486613.00000000
2021-02-01 15-45-00,0.03975770,0.04005000,0.03931080,0.03959430,107955252.00000000
2021-02-01 16-00-00,0.03959590,0.04120000,0.03959590,0.04044270,316633427.00000000
2021-02-01 16-15-00,0.04044340,0.04065620,0.03995130,0.04044670,162562868.00000000
2021-02-01 16-30-00,0.04044590,0.04097520,0.04027430,0.04032550,196799449.00000000
2021-02-01 16-45-00,0.04031200,0.04070000,0.04001460,0.04022310,97725479.00000000
2021-02-01 17-00-00,0.04022310,0.04036190,0.03931030,0.04019270,182537576.00000000
2021-02-01 17-15-00,0.04019270,0.04020000,0.03871510,0.03936170,204728459.00000000
2021-02-01 17-30-00,0.03939100,0.03980000,0.03901360,0.03927210,141095178.00000000
2021-02-01 17-45-00,0.03927180,0.03952100,0.03850000,0.03891010,158054828.00000000
2021-02-01 18-00-00,0.03890000,0.03891560,0.03725900,0.03845450,292856706.00000000
2021-02-01 18-15-00,0.03846730,0.03850000,0.03730000,0.03769080,172545478.00000000
2021-02-01 18-30-00,0.03769080,0.03772500,0.03474820,0.03674470,632853387.00000000
2021-02-01 18-45-00,0.03674470,0.03689000,0.03520610,0.03599900,274322835.00000000
2021-02-01 19-00-00,0.03597760,0.03728350,0.03540160,0.03672670,228446233.00000000
2021-02-01 19-15-00,0.03672670,0.03726480,0.03583570,0.03619190,155440029.00000000
2021-02-01 19-30-00,0.03618910,0.03685390,0.03600010,0.03655300,137471628.00000000
2021-02-01 19-45-00,0.03652710,0.03700000,0.03638400,0.03684330,77436739.00000000
2021-02-01 20-00-00,0.03684290,0.03785450,0.03680030,0.03727740,161812201.00000000
2021-02-01 20-15-00,0.03727400,0.03758810,0.03680970,0.03756910,81916731.00000000
2021-02-01 20-30-00,0.03756030,0.03769990,0.03648940,0.03691680,94149748.00000000
2021-02-01 20-45-00,0.03691680,0.03691680,0.03617640,0.03687390,90112460.00000000
2021-02-01 21-00-00,0.03686070,0.03745000,0.03660070,0.03733800,75252577.00000000
2021-02-01 21-15-00,0.03734410,0.03738690,0.03660710,0.03675040,71325194.00000000
2021-02-01 21-30-00,0.03675030,0.03713440,0.03646470,0.03683400,100600455.00000000
2021-02-01 21-45-00,0.03683340,0.03704300,0.03651240,0.03655760,70300862.00000000
2021-02-01 22-00-00,0.03655760,0.03659100,0.03500030,0.03510770,208830694.00000000
2021-02-01 22-15-00,0.03514700,0.03609790,0.03422610,0.03500400,241280578.00000000
