dateTime,open,high,low,close,volume
2021-02-01 00-00-00,0.03696230,0.03788510,0.03410030,0.03689870,1527299295.00000000
2021-02-01 01-00-00,0.03690380,0.03930220,0.03590360,0.03871610,1295050021.00000000
2021-02-01 02-00-00,0.03879070,0.03888000,0.03641220,0.03783590,807110596.00000000
2021-02-01 03-00-00,0.03782490,0.03854190,0.03633100,0.03748320,895371184.00000000
2021-02-01 04-00-00,0.03746970,0.04160450,0.03693410,0.04040830,1562930196.00000000
2021-02-01 05-00-00,0.04046120,0.04198600,0.03911990,0.04068510,1189697795.00000000
2021-02-01 06-00-00,0.04068470,0.04200000,0.03650000,0.03866530,1698789207.00000000
2021-02-01 07-00-00,0.03865620,0.04017880,0.03801800,0.03921880,942781101.00000000
2021-02-01 08-00-00,0.03921880,0.03925950,0.03742970,0.03838320,772341531.00000000
2021-02-01 09-00-00,0.03842560,0.03990000,0.03772750,0.03935000,652496974.00000000
2021-02-01 10-00-00,0.03934210,0.04093370,0.03872320,0.03905110,1057001220.00000000
2021-02-01 11-00-00,0.03904950,0.04057110,0.03818190,0.03930010,864814241.00000000
2021-02-01 12-00-00,0.03930010,0.04021050,0.03871090,0.03974540,717162344.00000000
2021-02-01 13-00-00,0.03971530,0.04382680,0.03800000,0.03899990,2563425740.00000000
2021-02-01 14-00-00,0.03901750,0.04120000,0.03777000,0.04006790,1068111267.00000000
2021-02-01 15-00-00,0.04004110,0.04058000,0.03920000,0.03959430,664299442.00000000
2021-02-01 16-00-00,0.03959590,0.04120000,0.03959590,0.04022310,773721223.00000000
2021-02-01 17-00-00,0.04022310,0.04036190,0.03850000,0.03891010,686416041.00000000
2021-02-01 18-00-00,0.03890000,0.03891560,0.03474820,0.03599900,1372578406.00000000
2021-02-01 19-00-00,0.03597760,0.03728350,0.03540160,0.03684330,598794629.00000000
2021-02-01 20-00-00,0.03684290,0.03785450,0.03617640,0.03687390,427991140.00000000
2021-02-01 21-00-00,0.03686070,0.03745000,0.03646470,0.03655760,317479088.00000000
2021-02-01 22-00-00,0.03655760,0.03659100,0.03286150,0.03485310,907890410.00000000
2021-02-01 23-00-00,0.03485310,0.03587750,0.03382990,0.03481730,504884531.00000000
2021-02-02 00-00-00,0.03482330,0.03526660,0.02877000,0.03058960,1525615146.00000000
2021-02-02 01-00-00,0.03058850,0.03350000,0.03018900,0.03327550,1017351375.00000000
2021-02-02 02-00-00,0.03321900,0.03329230,0.03115660,0.03182690,452702991.00000000
2021-02-02 03-00-00,0.03181010,0.03316490,0.03144270,0.03271130,391609829.00000000
2021-02-02 04-00-00,0.03271230,0.03411760,0.03259180,0.03297920,409878914.00000000
2021-02-02 05-00-00,0.03297940,0.03367460,0.03247010,0.03350220,321832652.00000000
2021-02-02 06-00-00,0.03350680,0.03469980,0.03350000,0.03467370,373872888.00000000
2021-02-02 07-00-00,0.03467170,0.03529400,0.03327430,0.03367500,457939064.00000000
2021-02-02 08-00-00,0.03368300,0.03441630,0.03257500,0.03264330,359899182.00000000
2021-02-02 09-00-00,0.03264330,0.03323200,0.03252010,0.03291100,325281859.00000000
2021-02-02 10-00-00,0.03292630,0.03404790,0.03292630,0.03329460,341309662.00000000
2021-02-02 11-00-00,0.03328270,0.03374510,0.03277860,0.03326530,351743361.00000000
2021-02-02 12-00-00,0.03324550,0.03374260,0.03298000,0.03341730,200021408.00000000
2021-02-02 13-00-00,0.03341730,0.03389580,0.03275300,0.03279980,311864030.00000000
2021-02-02 14-00-00,0.03281450,0.03314250,0.03050240,0.03138930,820192988.00000000
2021-02-02 15-00-00,0.03138930,0.03170000,0.03015610,0.03073020,668254656.00000000
2021-02-02 16-00-00,0.03071450,0.03200000,0.03041680,0.03111320,658447918.00000000
2021-02-02 17-00-00,0.03111570,0.03164990,0.03063530,0.03150280,327189018.00000000
2021-02-02 18-00-00,0.03152120,0.03155800,0.03050100,0.03062820,300397371.00000000
2021-02-02 19-00-00,0.03062170,0.03156340,0.03020520,0.03122230,465610298.00000000
